State Name,State Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alaska,AK,11.45,12.12,12.05,11.98,12.44,13.30,14.83,15.18,16.55,17.14,16.26
Alabama,AL,7.05,7.01,7.12,7.39,7.62,8.00,8.75,9.32,10.40,10.66,10.67
Arkansas,AR,7.45,7.72,7.25,7.24,7.36,8.00,8.85,8.73,9.27,9.14,8.86
Arizona,AZ,8.44,8.30,8.27,8.35,8.46,8.86,9.40,9.66,10.27,10.73,10.97
California,CA,10.89,12.09,12.64,12.23,12.20,12.51,14.33,14.42,13.81,14.74,14.75
Colorado,CO,7.31,7.47,7.37,8.14,8.42,9.06,9.02,9.25,10.13,10.00,11.04
Connecticut,CT,10.86,10.90,10.96,11.31,11.63,13.64,16.86,19.11,19.55,20.33,19.25
District of Columbia,DC,8.03,7.79,7.98,7.84,8.00,9.10,9.88,11.18,12.79,13.76,14.01
Delaware,DE,8.54,8.61,8.70,8.59,8.78,9.01,11.85,13.16,13.93,14.07,13.80
Florida,FL,7.77,8.59,8.16,8.55,8.99,9.62,11.33,11.22,11.65,12.39,11.44
Georgia,GA,7.60,7.72,7.63,7.70,7.86,8.64,8.91,9.10,9.93,10.13,10.07
Hawaii,HI,16.41,16.34,15.63,16.73,18.06,20.70,23.35,24.12,32.50,24.20,28.10
Iowa,IA,8.37,8.41,8.35,8.57,8.96,9.27,9.63,9.45,9.49,9.99,10.42
Idaho,ID,5.39,6.01,6.59,6.24,6.10,6.29,6.21,6.36,6.99,7.80,7.99
Illinois,IL,8.83,8.71,8.39,8.38,8.37,8.34,8.42,10.12,11.07,11.27,11.52
Indiana,IN,6.87,6.92,6.91,7.04,7.30,7.50,8.22,8.26,8.87,9.50,9.56
Kansas,KS,7.65,7.66,7.67,7.71,7.74,7.90,8.25,8.19,8.88,9.53,10.03
Kentucky,KY,5.47,5.58,5.65,5.81,6.11,6.57,7.02,7.34,7.94,8.37,8.57
Louisiana,LA,7.67,7.92,7.10,7.84,8.05,8.87,9.14,9.37,10.28,8.10,8.98
Massachusetts,MA,10.53,12.47,10.93,11.60,11.75,13.44,16.60,16.23,17.68,16.87,14.59
Maryland,MD,7.95,7.67,7.74,7.73,7.80,8.46,9.71,11.89,13.84,14.98,14.32
Maine,ME,12.49,13.13,12.74,12.37,12.16,13.23,13.80,16.52,16.20,15.65,15.71
Michigan,MI,8.52,8.26,8.28,8.35,8.33,8.40,9.77,10.21,10.75,11.60,12.46
Minnessota,MN,7.52,7.61,7.49,7.65,7.92,8.28,8.70,9.18,9.74,10.04,10.59
Missouri,MO,7.04,7.00,7.06,6.96,6.97,7.08,7.44,7.69,8.00,8.54,9.08
Mississippi,MS,6.93,7.37,7.28,7.60,8.21,8.71,9.66,9.36,10.39,10.22,9.87
Montana,MT,6.49,6.88,7.23,7.56,7.86,8.10,8.28,8.77,9.13,8.93,9.16
North Carolina,NC,7.97,8.12,8.19,8.32,8.45,8.65,9.12,9.40,9.52,9.99,10.12
North Dakota,ND,6.44,6.47,6.39,6.49,6.79,6.99,7.14,7.30,7.51,7.58,8.13
Nebraska,NE,6.53,6.50,6.73,6.87,6.96,7.14,7.41,7.59,7.87,8.52,8.94
New Hampshire,NH,13.15,12.49,11.89,11.98,12.49,13.51,14.68,14.88,15.68,16.26,16.32
New Jersey,NJ,10.27,10.21,10.38,10.67,11.23,11.74,12.84,14.14,15.66,16.31,16.57
New Mexico,NM,8.36,8.74,8.50,8.69,8.67,9.13,9.06,9.12,10.01,10.02,10.52
Nevada,NV,7.28,9.08,9.43,9.02,9.69,10.20,11.08,11.82,11.93,12.86,12.36
New York,NY,13.97,14.04,13.55,14.31,14.54,15.72,16.89,17.10,18.30,17.50,18.74
Ohio,OH,8.61,8.37,8.24,8.26,8.45,8.51,9.34,9.57,10.06,10.67,11.32
Oklahoma,OK,7.03,7.27,6.73,7.47,7.72,7.95,8.55,8.58,9.09,8.49,9.14
Oregon,OR,5.88,6.29,7.12,7.06,7.18,7.25,7.48,8.19,8.49,8.68,8.87
Pennsylvania,PA,9.53,9.68,9.74,9.59,9.58,9.86,10.35,10.95,11.35,11.65,12.70
Rhode Island,RI,11.28,12.13,10.20,11.61,12.19,13.04,15.12,14.05,17.45,15.60,15.92
South Carolina,SC,7.58,7.69,7.72,8.01,8.12,8.67,9.03,9.19,9.89,10.44,10.50
South Dakota,SD,7.42,7.42,7.40,7.47,7.65,7.77,7.83,8.07,8.27,8.49,8.97
Tennessee,TN,6.33,6.32,6.41,6.55,6.90,6.98,7.75,7.84,8.91,9.32,9.23
Texas,TX,7.96,8.86,8.05,9.16,9.73,10.93,12.86,12.34,13.04,12.38,11.60
Utah,UT,6.29,6.72,6.79,6.90,7.21,7.52,7.59,8.15,8.26,8.48,8.71
Virginia,VA,7.52,7.79,7.79,7.76,7.99,8.16,8.49,8.74,9.62,10.61,10.45
Vermont,VT,12.30,12.67,12.78,12.82,12.94,12.96,13.39,14.15,14.48,14.90,15.57
Washington,WA,5.13,5.70,6.29,6.31,6.37,6.54,6.82,7.26,7.54,7.68,8.04
Wisconsin,WI,7.53,7.90,8.18,8.67,9.07,9.66,10.51,10.87,11.51,11.94,12.65
West Virginia,WV,6.27,6.26,6.23,6.24,6.23,6.21,6.35,6.73,7.06,7.90,8.79
Wyoming,WY,6.50,6.77,6.97,7.04,7.21,7.48,7.75,7.75,8.21,8.58,8.77
